variation_id,run_number,crn_seed,final_status,years_survived,final_population,final_resources,final_health,distance_covered,disease_outbreaks,overcrowding_events,critical_rationing,normal_rationing,min_resources,max_resources,mean_resources,std_resources,total_weight,initial_population,ship_capacity,initial_resources,birth_rate,death_rate,resource_gen_rate,lightspeed_fraction,health_index,diff_initial_population,diff_ship_capacity,diff_initial_resources,diff_birth_rate,diff_death_rate,diff_resource_gen_rate,diff_lightspeed_fraction,diff_health_index
base,0,42,Success,720,18,1811.8162666506598,88.2,40161613694976.07,48,2,91,182,1274.3130002973503,101964.30653068409,17934.476386788818,20320.837028541588,70434.47638678883,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,1,43,Failed,574,0,186.13622498627723,100.0,32017730917939.504,28,2,84,121,77.16169778997391,95279.83625285674,15528.482293192763,20063.52847875753,68028.48229319276,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,2,44,Failed,688,0,126.19829390690298,100.0,38376653086310.57,39,2,84,148,81.61926248305075,92445.86496200487,17974.571561525547,23340.144145363487,70474.57156152555,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,3,45,Success,720,7,989.189069214955,107.80000000000001,40161613694976.07,42,2,91,159,694.7764987697191,84794.31214547253,20332.990760202247,20698.050127287886,72832.99076020224,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,4,46,Success,720,13,1182.033353178011,107.80000000000001,40161613694976.07,48,2,93,184,697.4090571498461,94719.78741840424,17169.886572258736,21899.806095607164,69669.88657225874,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,5,47,Success,720,19,1839.5395374930413,88.2,40161613694976.07,34,2,80,161,1346.2136920224807,89785.26378429812,20342.945963589238,20975.81513622842,72842.94596358924,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,6,48,Failed,696,0,176.73733299800898,100.0,38822893238476.945,48,2,89,141,89.2383993386663,98251.58019744477,13804.222137879824,20530.367093123026,66304.22213787983,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,7,49,Success,720,4,513.3187749494325,107.80000000000001,40161613694976.07,44,2,108,163,307.0092373965349,107493.23978300806,16476.97662153099,24965.53782373253,68976.976621531,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,8,50,Failed,704,0,160.13789178762568,100.0,39269133390643.32,39,2,92,158,70.08815326136309,102103.90486137246,18192.346749560988,25990.754879070806,70692.346749561,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,9,51,Success,720,3,383.5568553765048,107.80000000000001,40161613694976.07,46,2,108,195,219.96982495655294,109120.74192414075,16683.759682678123,24451.52644608966,69183.75968267812,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,10,52,Success,720,13,1327.9279749888515,107.80000000000001,40161613694976.07,40,2,80,163,1104.2379875048364,89099.50913638044,14824.717060723275,17473.311509932984,67324.71706072327,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,11,53,Success,720,33,3749.935251271391,88.2,40161613694976.07,20,2,70,187,2508.573224157398,105938.33557957664,25931.872852219032,23291.089691331697,78431.87285221904,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,12,54,Success,720,12,1462.4684349983063,107.80000000000001,40161613694976.07,37,2,90,159,861.5379485563597,97576.62179033735,16965.68207235525,20981.43333892379,69465.68207235525,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,13,55,Success,720,9,1023.6707108440554,107.80000000000001,40161613694976.07,37,2,88,180,791.8913978540993,87723.56496922445,25964.272991424557,26464.744277547925,78464.27299142456,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,14,56,Success,720,8,934.3031607973599,107.80000000000001,40161613694976.07,43,2,105,192,626.9849745420192,102397.06020794653,12805.137876685532,18794.482925181463,65305.137876685534,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,15,57,Success,720,6,636.2111466802438,107.80000000000001,40161613694976.07,32,2,90,189,520.8909457296007,97489.68645175328,16808.092848585286,21540.005764319892,69308.09284858528,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,16,58,Success,720,3,440.6719817093941,107.80000000000001,40161613694976.07,45,2,103,200,204.6223960150205,107938.0958623579,23193.98223459164,26252.040841612466,75693.98223459165,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,17,59,Success,720,8,830.1620090004824,88.2,40161613694976.07,31,2,94,205,558.6430297117829,87331.92842372984,19242.202374462613,22309.100435862798,71742.20237446262,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,18,60,Success,720,4,560.2132879518576,107.80000000000001,40161613694976.07,37,2,95,167,398.65207860433634,99434.62436553705,15116.197787341378,19700.15069722665,67616.19778734137,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,19,61,Failed,608,0,162.6174599192645,100.0,33914251564646.73,40,2,86,129,76.94108883131808,100669.10071700218,19050.713712025998,26240.495422235897,71550.713712026,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,20,62,Success,720,2,204.16834129642882,107.80000000000001,40161613694976.07,34,2,88,177,204.16834129642882,97235.39632674684,18029.37381595235,23312.35635304936,70529.37381595235,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,21,63,Success,720,13,1476.556003102876,107.80000000000001,40161613694976.07,26,2,95,180,629.4578200277588,95793.07306685753,11685.844824678608,17407.75500058847,64185.84482467861,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,22,64,Success,720,8,830.4983207835943,88.2,40161613694976.07,35,2,89,190,725.5035665135182,115249.77504872606,17482.561857502864,20991.282471528808,69982.56185750286,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,23,65,Failed,679,0,187.17388227176966,100.0,37874632915123.4,40,2,96,162,87.9319798208268,105801.20168380527,16628.061132450413,22762.409631910396,69128.06113245041,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,24,66,Success,720,6,614.3673766213792,78.4,40161613694976.07,30,2,92,188,606.8736052567506,95474.74232080762,15345.792260413853,18923.614599888104,67845.79226041386,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
