variation_id,population_mean,population_std,resources_mean,resources_std,health_mean,health_std,distance_mean,distance_std,years_mean,years_std,success_rate
base,7.98,6.59810196154542,874.1744298261247,674.5844314237306,100.5528,10.668023216769607,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
initial_resources_101000,7.98,6.59810196154542,874.1744298261247,674.5844314237306,100.5528,10.668023216769607,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
initial_resources_102000,7.98,6.59810196154542,874.1744298261247,674.5844314237306,100.5528,10.668023216769607,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
initial_resources_98000,7.98,6.59810196154542,874.1744298261247,674.5844314237306,100.5528,10.668023216769607,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
initial_resources_99000,7.98,6.59810196154542,874.1744298261247,674.5844314237306,100.5528,10.668023216769607,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
resource_gen_rate_101.0,1.01,2.9729249617645626,263.1295812029701,297.0719553318794,99.8014,7.721030053749896,36198443343548.37,3964076669636.665,648.95,71.06624807995436,25.0
resource_gen_rate_101.5,3.19,4.387067772027649,445.2646269906217,430.91417527003466,100.7518,8.187305816033291,38523912336525.45,2606367832491.9697,690.64,46.72583262332982,56.00000000000001
resource_gen_rate_102.5,15.21,10.540249934743896,1614.5457710185533,1143.8045685885768,100.8228,11.693194090598345,40108622676906.31,529910180697.5726,719.05,9.49999999999999,99.0
resource_gen_rate_103.0,30.63,22.001218974494044,3285.7729498502435,2489.0521011476744,100.5676,11.434419342361455,40161613694976.07,0.0,720.0,0.0,100.0
ship_capacity_1040,7.84,6.5946412282468385,862.7922344448119,675.0847547231026,100.8468,10.546710423998412,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
ship_capacity_1045,8.0,6.5950700902226576,878.1799371604923,673.8654145990562,100.5528,10.668023216769607,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
ship_capacity_1055,7.98,6.59810196154542,874.1744298261247,674.5844314237306,100.5528,10.668023216769607,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
ship_capacity_1060,7.98,6.59810196154542,874.7015789637338,675.494367049257,100.74879999999999,10.618715066172822,39804621573242.97,1204881799099.8293,713.6,21.600598570082703,88.0
