ship_capacity,initial_resources,resource_gen_rate,weight_mean,weight_std,success_rate,avg_resources_mean,avg_resources_std,final_pop_mean,final_pop_std,efficiency_ratio
1050,90000,95.0,65466.45,1647.38,0.0,12966.45,1647.38,0.0,0.0,0.0
1050,90000,96.0,65708.08,1686.36,0.0,13208.08,1686.36,0.0,0.0,0.0
1050,90000,97.0,65893.13,1782.96,0.0,13393.13,1782.96,0.0,0.0,0.0
1050,90000,98.0,66236.16,1810.58,0.0,13736.16,1810.58,0.0,0.0,0.0
1050,90000,99.0,66375.75,1913.44,0.0,13875.75,1913.44,0.0,0.0,0.0
1050,90000,100.0,66389.39,2068.42,2.0,13889.39,2068.42,0.04,0.28,3.0125295623291614e-05
1050,90000,101.0,67111.17,2464.57,25.0,14611.17,2464.57,0.92,2.66,0.0003725162294145669
1050,90000,102.0,70190.24,3607.2,89.0,17690.24,3607.2,7.78,6.81,0.0012679825571190525
1050,90000,103.0,78154.29,6476.63,100.0,25654.29,6476.63,30.16,20.5,0.0012795202924881029
1050,90000,104.0,92593.68,10908.62,100.0,40093.68,10908.62,118.97,87.35,0.0010799873166289537
1050,90000,105.0,115580.62,13276.27,100.0,63080.62,13276.27,387.5,211.96,0.000865196950838298
1050,95000,95.0,65500.86,1508.16,0.0,13000.86,1508.16,0.0,0.0,0.0
1050,95000,96.0,65804.11,1630.26,0.0,13304.11,1630.26,0.0,0.0,0.0
1050,95000,97.0,65911.65,1731.67,0.0,13411.65,1731.67,0.0,0.0,0.0
1050,95000,98.0,66353.27,1886.45,0.0,13853.27,1886.45,0.0,0.0,0.0
1050,95000,99.0,66538.67,2116.84,0.0,14038.67,2116.84,0.0,0.0,0.0
1050,95000,100.0,66431.5,2242.05,1.0,13931.5,2242.05,0.03,0.3,1.5053099809578288e-05
1050,95000,101.0,67009.14,2399.29,25.0,14509.14,2399.29,1.01,2.97,0.00037308343309584333
1050,95000,102.0,70257.5,3476.36,88.0,17757.5,3476.36,7.98,6.6,0.0012525353165142512
1050,95000,103.0,77805.22,5893.84,100.0,25305.22,5893.84,30.56,21.93,0.0012852608089791405
1050,95000,104.0,92171.85,9852.73,100.0,39671.85,9852.73,119.16,86.29,0.0010849299433612323
1050,95000,105.0,116439.75,12920.82,100.0,63939.75,12920.82,390.19,211.06,0.000858813248911991
1050,100000,95.0,65516.72,1507.81,0.0,13016.72,1507.81,0.0,0.0,0.0
1050,100000,96.0,65818.47,1630.8,0.0,13318.47,1630.8,0.0,0.0,0.0
1050,100000,97.0,65924.29,1731.65,0.0,13424.29,1731.65,0.0,0.0,0.0
1050,100000,98.0,66364.52,1886.45,0.0,13864.52,1886.45,0.0,0.0,0.0
1050,100000,99.0,66548.17,2116.81,0.0,14048.17,2116.81,0.0,0.0,0.0
1050,100000,100.0,66439.61,2242.38,1.0,13939.61,2242.38,0.03,0.3,1.5051262341846979e-05
1050,100000,101.0,67020.63,2406.46,25.0,14520.63,2406.46,1.01,2.97,0.0003730194717656339
1050,100000,102.0,70263.55,3476.57,88.0,17763.55,3476.57,7.98,6.6,0.0012524274677268655
1050,100000,103.0,77858.06,5888.97,100.0,25358.06,5888.97,30.63,22.0,0.0012843885398634387
